Data Table for Daily Death Trends - Alaska
Date generated: Mon Jul 25 2022 09:22:40 GMT-0400 (Eastern Daylight Time)
State,Date,New Deaths,7-Day Moving Avg
Alaska,Jul 21 2022,0,0
Alaska,Jul 20 2022,0,0
Alaska,Jul 19 2022,0,3
Alaska,Jul 18 2022,0,3
Alaska,Jul 17 2022,0,3
Alaska,Jul 16 2022,0,3
Alaska,Jul 15 2022,0,3
Alaska,Jul 14 2022,0,3
Alaska,Jul 13 2022,23,3
Alaska,Jul 12 2022,0,0
Alaska,Jul 11 2022,0,0
Alaska,Jul 10 2022,0,0
Alaska,Jul  9 2022,0,0
Alaska,Jul  8 2022,0,0
Alaska,Jul  7 2022,0,0
Alaska,Jul  6 2022,0,0
Alaska,Jul  5 2022,0,0
Alaska,Jul  4 2022,0,0
Alaska,Jul  3 2022,0,0
Alaska,Jul  2 2022,0,0
Alaska,Jul  1 2022,0,0
Alaska,Jun 30 2022,0,0
Alaska,Jun 29 2022,0,0
Alaska,Jun 28 2022,0,0
Alaska,Jun 27 2022,0,0
Alaska,Jun 26 2022,0,0
Alaska,Jun 25 2022,0,0
Alaska,Jun 24 2022,0,0
Alaska,Jun 23 2022,0,0
Alaska,Jun 22 2022,0,0
Alaska,Jun 21 2022,0,0
Alaska,Jun 20 2022,0,0
Alaska,Jun 19 2022,0,0
Alaska,Jun 18 2022,0,0
Alaska,Jun 17 2022,0,0
Alaska,Jun 16 2022,0,0
Alaska,Jun 15 2022,0,0
Alaska,Jun 14 2022,0,0
Alaska,Jun 13 2022,0,0
Alaska,Jun 12 2022,0,0
Alaska,Jun 11 2022,0,0
Alaska,Jun 10 2022,0,0
Alaska,Jun  9 2022,0,0
Alaska,Jun  8 2022,0,0
Alaska,Jun  7 2022,0,0
Alaska,Jun  6 2022,0,0
Alaska,Jun  5 2022,0,0
Alaska,Jun  4 2022,0,0
Alaska,Jun  3 2022,0,0
Alaska,Jun  2 2022,0,0
Alaska,Jun  1 2022,0,0
Alaska,May 31 2022,0,0
Alaska,May 30 2022,0,0
Alaska,May 29 2022,0,0
Alaska,May 28 2022,0,0
Alaska,May 27 2022,0,0
Alaska,May 26 2022,0,0
Alaska,May 25 2022,0,0
Alaska,May 24 2022,0,2
Alaska,May 23 2022,0,2
Alaska,May 22 2022,0,2
Alaska,May 21 2022,0,2
Alaska,May 20 2022,0,2
Alaska,May 19 2022,0,2
Alaska,May 18 2022,17,2
Alaska,May 17 2022,0,2
Alaska,May 16 2022,0,2
Alaska,May 15 2022,0,2
Alaska,May 14 2022,0,2
Alaska,May 13 2022,0,2
Alaska,May 12 2022,0,2
Alaska,May 11 2022,15,2
Alaska,May 10 2022,0,0
Alaska,May  9 2022,0,0
Alaska,May  8 2022,0,0
Alaska,May  7 2022,0,0
Alaska,May  6 2022,0,0
Alaska,May  5 2022,0,0
Alaska,May  4 2022,1,0
Alaska,May  3 2022,0,0
Alaska,May  2 2022,0,0
Alaska,May  1 2022,0,0
Alaska,Apr 30 2022,0,0
Alaska,Apr 29 2022,0,0
Alaska,Apr 28 2022,0,0
Alaska,Apr 27 2022,4,0
Alaska,Apr 26 2022,0,1
Alaska,Apr 25 2022,0,1
Alaska,Apr 24 2022,0,1
Alaska,Apr 23 2022,0,1
Alaska,Apr 22 2022,0,1
Alaska,Apr 21 2022,0,1
Alaska,Apr 20 2022,13,1
Alaska,Apr 19 2022,0,1
Alaska,Apr 18 2022,0,1
Alaska,Apr 17 2022,0,1
Alaska,Apr 16 2022,0,1
Alaska,Apr 15 2022,0,1
Alaska,Apr 14 2022,0,1
Alaska,Apr 13 2022,7,1
Alaska,Apr 12 2022,0,0
Alaska,Apr 11 2022,0,0
Alaska,Apr 10 2022,0,0
Alaska,Apr  9 2022,0,0
Alaska,Apr  8 2022,0,0
Alaska,Apr  7 2022,0,0
Alaska,Apr  6 2022,0,0
Alaska,Apr  5 2022,0,0
Alaska,Apr  4 2022,0,0
Alaska,Apr  3 2022,0,0
Alaska,Apr  2 2022,0,0
Alaska,Apr  1 2022,0,0
Alaska,Mar 31 2022,0,0
Alaska,Mar 30 2022,6,0
Alaska,Mar 29 2022,0,2
Alaska,Mar 28 2022,0,2
Alaska,Mar 27 2022,0,2
Alaska,Mar 26 2022,0,2
Alaska,Mar 25 2022,0,2
Alaska,Mar 24 2022,0,2
Alaska,Mar 23 2022,20,2
Alaska,Mar 22 2022,0,0
Alaska,Mar 21 2022,0,0
Alaska,Mar 20 2022,0,0
