Data Table for Daily Death Trends - Maryland
Date generated: Mon Jul 25 2022 09:25:48 GMT-0400 (Eastern Daylight Time)
State,Date,New Deaths,7-Day Moving Avg
Maryland,Jul 21 2022,8,5
Maryland,Jul 20 2022,7,5
Maryland,Jul 19 2022,2,5
Maryland,Jul 18 2022,13,6
Maryland,Jul 17 2022,0,6
Maryland,Jul 16 2022,0,6
Maryland,Jul 15 2022,5,6
Maryland,Jul 14 2022,10,6
Maryland,Jul 13 2022,5,6
Maryland,Jul 12 2022,10,5
Maryland,Jul 11 2022,14,7
Maryland,Jul 10 2022,0,5
Maryland,Jul  9 2022,0,5
Maryland,Jul  8 2022,3,5
Maryland,Jul  7 2022,13,6
Maryland,Jul  6 2022,0,5
Maryland,Jul  5 2022,21,6
Maryland,Jul  4 2022,0,3
Maryland,Jul  3 2022,0,5
Maryland,Jul  2 2022,0,5
Maryland,Jul  1 2022,11,5
Maryland,Jun 30 2022,5,4
Maryland,Jun 29 2022,5,4
Maryland,Jun 28 2022,6,4
Maryland,Jun 27 2022,13,7
Maryland,Jun 26 2022,0,5
Maryland,Jun 25 2022,0,5
Maryland,Jun 24 2022,5,5
Maryland,Jun 23 2022,4,5
Maryland,Jun 22 2022,4,6
Maryland,Jun 21 2022,23,7
Maryland,Jun 20 2022,0,5
Maryland,Jun 19 2022,0,7
Maryland,Jun 18 2022,0,7
Maryland,Jun 17 2022,10,7
Maryland,Jun 16 2022,8,6
Maryland,Jun 15 2022,9,7
Maryland,Jun 14 2022,8,6
Maryland,Jun 13 2022,16,8
Maryland,Jun 12 2022,0,6
Maryland,Jun 11 2022,0,6
Maryland,Jun 10 2022,7,6
Maryland,Jun  9 2022,11,6
Maryland,Jun  8 2022,6,6
Maryland,Jun  7 2022,20,5
Maryland,Jun  6 2022,0,5
Maryland,Jun  5 2022,0,5
Maryland,Jun  4 2022,0,5
Maryland,Jun  3 2022,5,5
Maryland,Jun  2 2022,16,5
Maryland,Jun  1 2022,0,3
Maryland,May 31 2022,16,5
Maryland,May 30 2022,0,4
Maryland,May 29 2022,0,6
Maryland,May 28 2022,0,6
Maryland,May 27 2022,3,6
Maryland,May 26 2022,2,6
Maryland,May 25 2022,14,6
Maryland,May 24 2022,9,4
Maryland,May 23 2022,14,3
Maryland,May 22 2022,0,4
Maryland,May 21 2022,0,4
Maryland,May 20 2022,4,4
Maryland,May 19 2022,4,4
Maryland,May 18 2022,2,4
Maryland,May 17 2022,3,5
Maryland,May 16 2022,18,5
Maryland,May 15 2022,0,4
Maryland,May 14 2022,0,4
Maryland,May 13 2022,4,4
Maryland,May 12 2022,1,4
Maryland,May 11 2022,9,5
Maryland,May 10 2022,5,4
Maryland,May  9 2022,10,4
Maryland,May  8 2022,0,4
Maryland,May  7 2022,0,4
Maryland,May  6 2022,9,4
Maryland,May  5 2022,4,4
Maryland,May  4 2022,5,4
Maryland,May  3 2022,0,5
Maryland,May  2 2022,15,7
Maryland,May  1 2022,0,5
Maryland,Apr 30 2022,0,5
Maryland,Apr 29 2022,6,5
Maryland,Apr 28 2022,7,4
Maryland,Apr 27 2022,8,4
Maryland,Apr 26 2022,16,4
Maryland,Apr 25 2022,0,2
Maryland,Apr 24 2022,0,3
Maryland,Apr 23 2022,0,3
Maryland,Apr 22 2022,3,3
Maryland,Apr 21 2022,4,3
Maryland,Apr 20 2022,6,3
Maryland,Apr 19 2022,5,3
Maryland,Apr 18 2022,6,3
Maryland,Apr 17 2022,0,3
Maryland,Apr 16 2022,0,3
Maryland,Apr 15 2022,3,3
Maryland,Apr 14 2022,3,3
Maryland,Apr 13 2022,4,3
Maryland,Apr 12 2022,6,3
Maryland,Apr 11 2022,8,3
Maryland,Apr 10 2022,0,3
Maryland,Apr  9 2022,0,3
Maryland,Apr  8 2022,6,3
Maryland,Apr  7 2022,3,3
Maryland,Apr  6 2022,3,3
Maryland,Apr  5 2022,2,3
Maryland,Apr  4 2022,8,4
Maryland,Apr  3 2022,0,4
Maryland,Apr  2 2022,0,4
Maryland,Apr  1 2022,8,4
Maryland,Mar 31 2022,2,4
Maryland,Mar 30 2022,2,4
Maryland,Mar 29 2022,12,4
Maryland,Mar 28 2022,5,4
Maryland,Mar 27 2022,2,4
Maryland,Mar 26 2022,0,4
Maryland,Mar 25 2022,8,4
Maryland,Mar 24 2022,2,4
Maryland,Mar 23 2022,3,4
Maryland,Mar 22 2022,8,4
Maryland,Mar 21 2022,5,4
Maryland,Mar 20 2022,5,5
Maryland,Mar 19 2022,0,6
Maryland,Mar 18 2022,7,6
Maryland,Mar 17 2022,4,7
Maryland,Mar 16 2022,2,7
Maryland,Mar 15 2022,9,8
Maryland,Mar 14 2022,10,9
Maryland,Mar 13 2022,12,12
Maryland,Mar 12 2022,0,10
Maryland,Mar 11 2022,12,10
Maryland,Mar 10 2022,8,9
Maryland,Mar  9 2022,11,9
Maryland,Mar  8 2022,12,10
Maryland,Mar  7 2022,30,10
Maryland,Mar  6 2022,0,8
Maryland,Mar  5 2022,0,10
Maryland,Mar  4 2022,5,10
Maryland,Mar  3 2022,11,11
