Data Table for Daily Death Trends - New York (excludes NYC)*
Date generated: Mon Jul 25 2022 09:27:43 GMT-0400 (Eastern Daylight Time)
State,Date,New Deaths,7-Day Moving Avg
New York,Jul 21 2022,16,11
New York,Jul 20 2022,15,10
New York,Jul 19 2022,30,9
New York,Jul 18 2022,8,8
New York,Jul 17 2022,0,9
New York,Jul 16 2022,0,9
New York,Jul 15 2022,13,9
New York,Jul 14 2022,8,8
New York,Jul 13 2022,5,7
New York,Jul 12 2022,26,10
New York,Jul 11 2022,12,6
New York,Jul 10 2022,0,4
New York,Jul  9 2022,0,4
New York,Jul  8 2022,7,6
New York,Jul  7 2022,0,5
New York,Jul  6 2022,26,7
New York,Jul  5 2022,0,4
New York,Jul  4 2022,0,7
New York,Jul  3 2022,0,7
New York,Jul  2 2022,9,7
New York,Jul  1 2022,6,7
New York,Jun 30 2022,8,7
New York,Jun 29 2022,6,9
New York,Jun 28 2022,23,12
New York,Jun 27 2022,0,9
New York,Jun 26 2022,0,9
New York,Jun 25 2022,8,10
New York,Jun 24 2022,9,9
New York,Jun 23 2022,18,9
New York,Jun 22 2022,28,7
New York,Jun 21 2022,0,4
New York,Jun 20 2022,0,7
New York,Jun 19 2022,13,7
New York,Jun 18 2022,0,6
New York,Jun 17 2022,7,7
New York,Jun 16 2022,7,7
New York,Jun 15 2022,3,8
New York,Jun 14 2022,25,9
New York,Jun 13 2022,0,8
New York,Jun 12 2022,0,9
New York,Jun 11 2022,8,10
New York,Jun 10 2022,8,12
New York,Jun  9 2022,15,13
New York,Jun  8 2022,11,13
New York,Jun  7 2022,15,17
