Data Table for Daily Death Trends - Nebraska
Date generated: Mon Jul 25 2022 09:26:59 GMT-0400 (Eastern Daylight Time)
State,Date,New Deaths,7-Day Moving Avg
Nebraska,Jul 21 2022,0,0
Nebraska,Jul 20 2022,0,0
Nebraska,Jul 19 2022,0,1
Nebraska,Jul 18 2022,0,2
Nebraska,Jul 17 2022,0,2
Nebraska,Jul 16 2022,0,2
Nebraska,Jul 15 2022,0,2
Nebraska,Jul 14 2022,6,2
Nebraska,Jul 13 2022,1,1
Nebraska,Jul 12 2022,9,2
Nebraska,Jul 11 2022,2,0
Nebraska,Jul 10 2022,0,0
Nebraska,Jul  9 2022,0,0
Nebraska,Jul  8 2022,0,0
Nebraska,Jul  7 2022,1,0
Nebraska,Jul  6 2022,2,1
Nebraska,Jul  5 2022,0,1
Nebraska,Jul  4 2022,0,1
Nebraska,Jul  3 2022,0,1
Nebraska,Jul  2 2022,0,1
Nebraska,Jul  1 2022,0,1
Nebraska,Jun 30 2022,8,1
Nebraska,Jun 29 2022,0,0
Nebraska,Jun 28 2022,0,0
Nebraska,Jun 27 2022,0,0
Nebraska,Jun 26 2022,0,0
Nebraska,Jun 25 2022,0,0
Nebraska,Jun 24 2022,0,0
Nebraska,Jun 23 2022,2,0
Nebraska,Jun 22 2022,2,0
Nebraska,Jun 21 2022,0,0
Nebraska,Jun 20 2022,0,0
Nebraska,Jun 19 2022,0,1
Nebraska,Jun 18 2022,0,1
Nebraska,Jun 17 2022,0,1
Nebraska,Jun 16 2022,0,1
Nebraska,Jun 15 2022,1,1
Nebraska,Jun 14 2022,0,2
Nebraska,Jun 13 2022,6,3
Nebraska,Jun 12 2022,0,4
Nebraska,Jun 11 2022,0,4
Nebraska,Jun 10 2022,0,4
Nebraska,Jun  9 2022,0,4
Nebraska,Jun  8 2022,11,4
Nebraska,Jun  7 2022,9,3
Nebraska,Jun  6 2022,12,2
Nebraska,Jun  5 2022,0,1
Nebraska,Jun  4 2022,0,1
Nebraska,Jun  3 2022,0,1
Nebraska,Jun  2 2022,0,1
Nebraska,Jun  1 2022,4,1
Nebraska,May 31 2022,2,2
Nebraska,May 30 2022,4,6
Nebraska,May 29 2022,0,6
Nebraska,May 28 2022,0,6
Nebraska,May 27 2022,0,6
Nebraska,May 26 2022,0,6
Nebraska,May 25 2022,9,6
Nebraska,May 24 2022,35,5
Nebraska,May 23 2022,0,0
Nebraska,May 22 2022,0,0
Nebraska,May 21 2022,0,0
Nebraska,May 20 2022,0,0
Nebraska,May 19 2022,0,0
Nebraska,May 18 2022,0,1
Nebraska,May 17 2022,0,1
Nebraska,May 16 2022,6,3
Nebraska,May 15 2022,0,2
Nebraska,May 14 2022,0,2
Nebraska,May 13 2022,0,2
Nebraska,May 12 2022,3,2
Nebraska,May 11 2022,2,2
Nebraska,May 10 2022,13,2
Nebraska,May  9 2022,0,2
Nebraska,May  8 2022,0,2
Nebraska,May  7 2022,0,2
Nebraska,May  6 2022,0,2
Nebraska,May  5 2022,0,2
Nebraska,May  4 2022,1,2
Nebraska,May  3 2022,14,2
Nebraska,May  2 2022,4,0
Nebraska,May  1 2022,0,0
Nebraska,Apr 30 2022,0,0
Nebraska,Apr 29 2022,0,0
Nebraska,Apr 28 2022,0,0
Nebraska,Apr 27 2022,0,0
Nebraska,Apr 26 2022,0,0
Nebraska,Apr 25 2022,0,0
Nebraska,Apr 24 2022,0,0
Nebraska,Apr 23 2022,0,0
Nebraska,Apr 22 2022,0,0
Nebraska,Apr 21 2022,2,0
Nebraska,Apr 20 2022,0,0
Nebraska,Apr 19 2022,1,0
Nebraska,Apr 18 2022,3,0
Nebraska,Apr 17 2022,0,2
Nebraska,Apr 16 2022,0,2
Nebraska,Apr 15 2022,0,2
Nebraska,Apr 14 2022,0,2
Nebraska,Apr 13 2022,1,3
Nebraska,Apr 12 2022,0,3
Nebraska,Apr 11 2022,15,3
Nebraska,Apr 10 2022,0,1
Nebraska,Apr  9 2022,0,1
Nebraska,Apr  8 2022,0,1
Nebraska,Apr  7 2022,11,1
Nebraska,Apr  6 2022,0,0
Nebraska,Apr  5 2022,0,2
Nebraska,Apr  4 2022,2,2
Nebraska,Apr  3 2022,0,15
Nebraska,Apr  2 2022,0,15
Nebraska,Apr  1 2022,0,15
Nebraska,Mar 31 2022,1,15
Nebraska,Mar 30 2022,17,15
Nebraska,Mar 29 2022,0,13
Nebraska,Mar 28 2022,91,13
Nebraska,Mar 27 2022,0,0
Nebraska,Mar 26 2022,0,0
Nebraska,Mar 25 2022,0,0
Nebraska,Mar 24 2022,0,0
Nebraska,Mar 23 2022,2,1
Nebraska,Mar 22 2022,1,1
Nebraska,Mar 21 2022,3,2
Nebraska,Mar 20 2022,0,3
Nebraska,Mar 19 2022,0,3
Nebraska,Mar 18 2022,0,3
Nebraska,Mar 17 2022,1,3
Nebraska,Mar 16 2022,2,3
Nebraska,Mar 15 2022,10,3
Nebraska,Mar 14 2022,8,1
Nebraska,Mar 13 2022,0,1
Nebraska,Mar 12 2022,0,1
Nebraska,Mar 11 2022,0,1
Nebraska,Mar 10 2022,1,1
Nebraska,Mar  9 2022,3,3
Nebraska,Mar  8 2022,1,3
Nebraska,Mar  7 2022,8,5
Nebraska,Mar  6 2022,0,8
Nebraska,Mar  5 2022,0,8
Nebraska,Mar  4 2022,0,8
Nebraska,Mar  3 2022,11,8
Nebraska,Mar  2 2022,2,6
Nebraska,Mar  1 2022,14,8
Nebraska,Feb 28 2022,30,12
Nebraska,Feb 27 2022,0,10
Nebraska,Feb 26 2022,0,10
Nebraska,Feb 25 2022,0,10
Nebraska,Feb 24 2022,2,10
Nebraska,Feb 23 2022,10,11
Nebraska,Feb 22 2022,43,10
Nebraska,Feb 21 2022,18,10
Nebraska,Feb 20 2022,0,9
Nebraska,Feb 19 2022,0,9
Nebraska,Feb 18 2022,0,9
Nebraska,Feb 17 2022,12,9
Nebraska,Feb 16 2022,1,8
Nebraska,Feb 15 2022,40,9
Nebraska,Feb 14 2022,15,4
Nebraska,Feb 13 2022,0,8
Nebraska,Feb 12 2022,0,8
Nebraska,Feb 11 2022,0,8
Nebraska,Feb 10 2022,6,8
Nebraska,Feb  9 2022,3,11
Nebraska,Feb  8 2022,4,14
Nebraska,Feb  7 2022,47,13
Nebraska,Feb  6 2022,0,12
Nebraska,Feb  5 2022,0,12
Nebraska,Feb  4 2022,0,12
Nebraska,Feb  3 2022,24,12
Nebraska,Feb  2 2022,26,10
Nebraska,Feb  1 2022,0,10
Nebraska,Jan 31 2022,39,14
Nebraska,Jan 30 2022,0,13
Nebraska,Jan 29 2022,0,13
